,avg_x_orig,avg_y_orig,density_ratio1_canny,density_ratio1_orig,density_ratio2_canny,density_ratio2_orig,density_ratio3_canny,density_ratio3_orig,density_ratio4_canny,density_ratio4_orig,h_w_ratio_canny,mean_hist_canny,mean_hist_orig,no_of_corners_orig,occ_ratio_canny,occ_ratio_orig,var_hist_canny,var_hist_orig
01_1,0.7808695652173913,0.8329362715902322,0.5033557046979866,0.0,0.4899328859060403,0.0,0.5037812681791739,0.5952380952380952,0.5253348864298194,0.0,0.3424657534246575,0.020273972602739727,0.9747945205479451,0.04,0.020273972602739727,0.025205479452054796,0.019862938637643084,0.024570163257646844
01_2,0.6335828877005347,0.3689107025126364,0.46837708830548924,0.7754010695187166,0.4988066825775656,0.22459893048128343,0.5331680099194048,0.21468926553672316,0.508641975308642,0.5870967741935483,0.3424657534246575,0.08164383561643836,0.8975342465753424,0.06,0.08164383561643836,0.10246575342465754,0.07497811972227432,0.09196652279977482
01_3,0.9128205128205128,0.13176638176638178,0.49095022624434387,1.0,0.48868778280542985,0.0,0.5167943429581615,0.0,0.5152761457109283,0.35294117647058826,0.3472222222222222,0.017777777777777778,0.9783333333333333,0.02,0.017777777777777778,0.021666666666666667,0.01746172839506173,0.02119722222222222
01_4,0.39206955046649705,0.5970929624594793,0.5140750670241286,0.3333333333333333,0.4597855227882037,0.7659033078880407,0.4811715481171548,0.699468085106383,0.49721059972105996,0.6904761904761905,0.3287671232876712,0.14840182648401826,0.7756849315068493,0.06,0.14840182648401826,0.2243150684931507,0.12637872438022563,0.17399781854006383
01_5,0.6097833014659019,0.5246863458969591,0.5129310344827587,0.4149139579349904,0.5416666666666666,0.23135755258126195,0.5198501872659176,0.4381338742393509,0.5656716417910448,0.2985971943887776,0.3287671232876712,0.20547945205479454,0.7014840182648402,0.08,0.2054794520547945,0.2985159817351598,0.1632576468380559,0.20940419038385352
01_6,0.6956666666666668,0.33911111111111114,0.4723127035830619,0.724,0.5355048859934853,0.172,0.5652173913043478,0.06722689075630252,0.5257801899592944,0.5145228215767634,0.3333333333333333,0.11168981481481481,0.8553240740740741,0.04,0.11168981481481481,0.14467592592592593,0.0992152000814472,0.12374480238340191
02_1,0.7409297052154195,0.7631231597116458,0.5230460921843687,0.08843537414965986,0.520374081496326,0.1564625850340136,0.5066202090592334,0.49264705882352944,0.5558659217877095,0.0,0.3582089552238806,0.06902985074626866,0.9085820895522387,0.04,0.06902985074626866,0.0914179104477612,0.06426473045221652,0.0830606760971263
02_2,0.5820610687022901,0.18947248490372565,0.4596935376415723,0.9618320610687023,0.5183211192538307,0.24427480916030533,0.5395833333333333,0.04878048780487805,0.48616874135546334,0.983739837398374,0.3582089552238806,0.06654228855721393,0.9185323383084577,0.03,0.06654228855721393,0.08146766169154229,0.06211441239078242,0.07483068179005471
02_3,0.9583333333333334,0.1791044776119403,0.491588785046729,1.0,0.5009345794392523,0.0,0.5087719298245614,0.0,0.5168831168831168,0.0,0.3582089552238806,0.0018656716417910447,0.9993781094527364,0.02,0.0018656716417910447,0.0006218905472636816,0.0018621909111160614,0.0006215037994109057
02_4,0.395533236421303,0.614344689924239,0.5209267563527653,0.3009118541033435,0.4469357249626308,0.6899696048632219,0.4727838258164852,0.7532051282051282,0.5023400936037441,0.6300940438871473,0.34328358208955223,0.1317326411421155,0.7865022712524334,0.05,0.1317326411421155,0.2134977287475665,0.11437915239983815,0.16791644856719704
02_5,0.631668881716347,0.5578439679332595,0.5051710421638823,0.3799126637554585,0.5250596658711217,0.19868995633187772,0.5364842454394693,0.3810623556581986,0.5597014925373134,0.2700228832951945,0.34328358208955223,0.18429591174561974,0.7027903958468527,0.03,0.18429591174561974,0.2972096041531473,0.15033092865947048,0.2088760553522768
02_6,0.6294057113455107,0.31555241543760487,0.4361948955916473,0.7958579881656804,0.5174013921113689,0.27218934911242604,0.5887096774193549,0.04075235109717868,0.5024271844660194,0.556923076923077,0.34328358208955223,0.1609344581440623,0.7806619078520441,0.02,0.1609344581440623,0.21933809214795588,0.13503455832593936,0.1712288934808507
03_1,0.7961121157323688,0.8311666096476223,0.5169660678642715,0.0,0.5139720558882236,0.05063291139240506,0.5038759689922481,0.47297297297297297,0.5320910973084886,0.0,0.3783783783783784,0.03281853281853282,0.9618725868725868,0.03,0.032818532818532815,0.03812741312741313,0.0317414767221717,0.0366737134956247
03_2,0.7032535527299926,0.350856091693788,0.47639034627492133,0.7801047120418848,0.521511017838405,0.15706806282722513,0.5239651416122004,0.2568306010928962,0.5067971723762915,0.5815217391304348,0.3783783783783784,0.08011583011583011,0.9078185328185329,0.06,0.08011583011583012,0.09218146718146718,0.07369728388068156,0.08368404428973929
03_3,0.8392857142857143,0.0472972972972973,0.4968431277319087,1.0,0.5031568722680914,0.0,0.5080563947633434,0.0,0.5110663983903421,1.0,0.3783783783783784,0.006274131274131274,0.9942084942084942,0.02,0.006274131274131274,0.005791505791505791,0.0062347665508862395,0.005757964252172747
03_4,0.40523787385712073,0.5658430396924121,0.5258673158855751,0.3807531380753138,0.44735240413877053,0.6861924686192469,0.4750473783954517,0.6470588235294118,0.48956356736242884,0.681917211328976,0.36486486486486486,0.17767767767767767,0.7607607607607608,0.05,0.17767767767767767,0.23923923923923923,0.14610832053274492,0.18200382564746928
03_5,0.5250150693188668,0.5598944333121548,0.5160493827160494,0.3887884267631103,0.49753086419753084,0.3743218806509946,0.5022479126525369,0.5601503759398496,0.5342729019859065,0.3441682600382409,0.36486486486486486,0.18918918918918917,0.7232232232232232,0.03,0.1891891891891892,0.27677677677677676,0.1533966398831264,0.20017139261383501
03_6,0.6475144345866779,0.3419997944712774,0.47470817120622566,0.7224334600760456,0.5013896609227348,0.21292775665399238,0.5547235023041475,0.03614457831325301,0.5083669936526255,0.515748031496063,0.36486486486486486,0.0995995995995996,0.8683683683683684,0.03,0.0995995995995996,0.13163163163163163,0.08967951935919903,0.11430474518562606
05_1,0.8023872679045093,0.8308008863564419,0.5085488820692678,0.0,0.49364313897413414,0.0641025641025641,0.5038478949751019,0.4931506849315068,0.5286103542234333,0.0,0.35802469135802467,0.028948488718603664,0.966794380587484,0.05,0.02894848871860366,0.033205619412515965,0.02811047371951254,0.032103006251947105
05_2,0.6223835450695705,0.37723684210526315,0.47449470644850816,0.7298245614035088,0.5062560153994226,0.24912280701754386,0.5271820448877805,0.3154121863799283,0.5077306733167082,0.5531914893617021,0.3625,0.10431034482758621,0.877155172413793,0.07,0.10431034482758621,0.12284482758620689,0.09342969678953628,0.107753975921522
05_3,0.0,0.0,0.5,0.0,0.4827586206896552,0.0,0.5064703257474342,0.0,0.5129348795718108,0.0,0.3625,0.0,1.0,0.01,0.0,0.0,0.0,0.0
05_4,0.33209796970673544,0.5616707049728856,0.5044291338582677,0.3691588785046729,0.43553149606299213,0.7897196261682243,0.47757390417940876,0.7156626506024096,0.47764227642276424,0.7644230769230769,0.35802469135802467,0.13495104299702,0.8177948063005535,0.04,0.13495104299702002,0.18220519369944657,0.11673925899103647,0.14900646108839372
05_5,0.5530121187284117,0.5546477079796265,0.5206786850477201,0.400679117147708,0.503711558854719,0.3242784380305603,0.49201981287837093,0.5244755244755245,0.5416210295728368,0.3049645390070922,0.3625,0.1870689655172414,0.7461206896551724,0.04,0.1870689655172414,0.2538793103448276,0.15207416765755052,0.1894246061236623
05_6,0.6428988895382817,0.28635593220338984,0.4730824202000953,0.7728813559322034,0.496903287279657,0.29491525423728815,0.549580661075481,0.07317073170731707,0.5078895463510849,0.5734265734265734,0.3625,0.09525862068965517,0.872844827586207,0.04,0.09525862068965517,0.1271551724137931,0.08618441587395957,0.11098673454221167
